Season year and week (40);;;State;;;;;;;;;;;;;;;;
Season year and week (40);enddate;Germany_sum;Baden-Wuerttemberg;Bavaria;Berlin;Brandenburg;Bremen;Hamburg;Hessen;Mecklenburg-Vorpommern;Lower Saxony;North Rhine-Westphalia;Rhineland-Palatinate;Saarland;Saxony;Saxony-Anhalt;Schleswig-Holstein;Thuringia;Unknown
2000/01 SW14 (w/e 01/07);2001-01-07;7;;;;;;1;3;1;;;;;2;;;;
2000/01 SW15 (w/e 01/14);2001-01-14;15;;;1;2;;;5;1;1;1;;;4;;;;
2000/01 SW16 (w/e 01/21);2001-01-21;55;1;4;;10;;;;6;2;9;2;;13;2;3;3;
2000/01 SW17 (w/e 01/28);2001-01-28;187;27;7;;14;;1;;22;13;21;3;;65;;10;4;
2000/01 SW18 (w/e 02/04);2001-02-04;460;63;32;59;40;;3;7;24;42;13;4;;138;17;2;16;
2000/01 SW19 (w/e 02/11);2001-02-11;536;86;40;28;34;;2;9;2;26;19;14;5;69;155;6;41;
2000/01 SW20 (w/e 02/18);2001-02-18;405;64;61;23;16;;1;10;7;31;12;34;2;74;45;10;15;
2000/01 SW21 (w/e 02/25);2001-02-25;244;46;56;7;13;;2;2;2;17;10;17;2;28;23;12;7;
2000/01 SW22 (w/e 03/04);2001-03-04;234;20;35;5;5;;;14;;2;6;45;;24;6;11;61;
2000/01 SW23 (w/e 03/11);2001-03-11;119;13;18;3;1;;;10;;5;6;35;;8;10;1;9;
2000/01 SW24 (w/e 03/18);2001-03-18;69;13;25;;1;;;;;;4;5;4;10;1;2;4;
2000/01 SW25 (w/e 03/25);2001-03-25;61;6;15;4;;;;4;;2;1;4;2;3;11;3;6;
2000/01 SW26 (w/e 04/01);2001-04-01;33;1;12;3;1;;;1;;;2;;;7;1;3;2;
2000/01 SW27 (w/e 04/08);2001-04-08;35;2;5;3;2;;1;2;;6;1;6;1;2;4;;;
2000/01 SW28 (w/e 04/15);2001-04-15;20;;5;;;;;;;;2;1;;3;7;2;;
2000/01 SW29 (w/e 04/22);2001-04-22;19;;2;6;1;;;;;;2;;1;5;1;1;;
2000/01 SW30 (w/e 04/29);2001-04-29;22;;6;13;;;;;;;;;;3;;;;
2000/01 SW31 (w/e 05/06);2001-05-06;10;;1;3;;;;;;;;2;;4;;;;
2000/01 SW32 (w/e 05/13);2001-05-13;7;;1;4;;;;;;;;;;2;;;;
2000/01 SW33 (w/e 05/20);2001-05-20;2;;1;;;;;;;;;;;1;;;;
2000/01 SW34 (w/e 05/27);2001-05-27;2;;;;;;;;;;;;;2;;;;
2000/01 SW35 (w/e 06/03);2001-06-03;2;;1;;;;;;;;;;;1;;;;
2000/01 SW36 (w/e 06/10);2001-06-10;7;;;;;;;;;1;;;;6;;;;
2000/01 SW37 (w/e 06/17);2001-06-17;4;;;;;;;;;;;;;4;;;;
2000/01 SW38 (w/e 06/24);2001-06-24;4;;;;;;;;;;;;;4;;;;
2000/01 SW39 (w/e 07/01);2001-07-01;2;;1;;;;;;;;;;;1;;;;
2000/01 SW40 (w/e 07/08);2001-07-08;3;;1;;;;;;;;;;;2;;;;
2000/01 SW41 (w/e 07/15);2001-07-15;3;;1;;;;;;;;;;;2;;;;
2000/01 SW42 (w/e 07/22);2001-07-22;2;;;;;;;;;;;;;2;;;;
2000/01 SW43 (w/e 07/29);2001-07-29;2;;;;;;;;;;;2;;;;;;
2000/01 SW44 (w/e 08/05);2001-08-05;7;;;;1;;;;;;;;;6;;;;
2000/01 SW45 (w/e 08/12);2001-08-12;3;;;;;;;;;1;;;;2;;;;
2000/01 SW46 (w/e 08/19);2001-08-19;4;;;;;;;;;;;;;4;;;;
2000/01 SW47 (w/e 08/26);2001-08-26;2;;;;;;;;;;;;;2;;;;
2000/01 SW48 (w/e 09/02);2001-09-02;3;;;;;;;1;;1;;;;1;;;;
2000/01 SW49 (w/e 09/09);2001-09-09;7;;1;;;;;;;;;;;6;;;;
2000/01 SW50 (w/e 09/16);2001-09-16;3;;;;;;;;;;;;;3;;;;
2000/01 SW51 (w/e 09/23);2001-09-23;3;;;;;;;;;;1;;;2;;;;
2001/02 SW01 (w/e 10/07);2001-10-07;5;;;;;;;;;;;;;3;;2;;
2001/02 SW02 (w/e 10/14);2001-10-14;6;;;;;;;;;;;;;4;;1;1;
2001/02 SW03 (w/e 10/21);2001-10-21;1;;;;;;;;;;;;;;;1;;
2001/02 SW04 (w/e 10/28);2001-10-28;2;;;;1;;;;;;;;;1;;;;
2001/02 SW05 (w/e 11/04);2001-11-04;7;;;;1;;;;;;;1;;3;;2;;
2001/02 SW06 (w/e 11/11);2001-11-11;8;;;;3;;;;;;;;;5;;;;
2001/02 SW07 (w/e 11/18);2001-11-18;1;;;;;;;;;;1;;;;;;;
2001/02 SW08 (w/e 11/25);2001-11-25;6;;1;;;;;;3;;;;;;;;2;
2001/02 SW09 (w/e 12/02);2001-12-02;1;;;;;;;;;;;;;1;;;;
2001/02 SW10 (w/e 12/09);2001-12-09;4;;1;;;;;;;;;;1;2;;;;
2001/02 SW11 (w/e 12/16);2001-12-16;6;;1;;3;;;;2;;;;;;;;;
2001/02 SW12 (w/e 12/23);2001-12-23;4;;1;;;;;;;;;;;3;;;;
2001/02 SW13 (w/e 12/30);2001-12-30;1;;;;1;;;;;;;;;;;;;
2001/02 SW14 (w/e 01/06);2002-01-06;7;;1;;1;;;;;;;1;;3;;1;;
2001/02 SW15 (w/e 01/13);2002-01-13;9;2;1;;;;;;;;3;;;2;;;1;
2001/02 SW16 (w/e 01/20);2002-01-20;15;6;1;1;;;1;;;;2;;;4;;;;
2001/02 SW17 (w/e 01/27);2002-01-27;61;27;2;3;1;;;1;;8;4;5;;9;;;1;
2001/02 SW18 (w/e 02/03);2002-02-03;65;20;3;2;3;;;2;1;4;10;7;;10;1;1;1;
2001/02 SW19 (w/e 02/10);2002-02-10;91;26;4;2;4;;;3;1;13;8;16;;3;10;;1;
2001/02 SW20 (w/e 02/17);2002-02-17;127;36;13;6;1;;2;6;1;13;9;12;;14;10;;4;
2001/02 SW21 (w/e 02/24);2002-02-24;170;33;29;13;1;;;6;1;22;18;25;1;10;5;1;5;
2001/02 SW22 (w/e 03/03);2002-03-03;252;54;38;8;1;;1;11;2;26;23;22;3;28;23;1;11;
2001/02 SW23 (w/e 03/10);2002-03-10;243;38;37;20;3;1;;17;6;25;16;20;1;35;11;1;12;
2001/02 SW24 (w/e 03/17);2002-03-17;365;72;59;30;6;3;;26;8;37;25;37;;34;5;10;13;
2001/02 SW25 (w/e 03/24);2002-03-24;413;50;75;27;12;1;1;23;16;31;42;33;5;52;20;11;14;
2001/02 SW26 (w/e 03/31);2002-03-31;294;29;43;17;7;;1;7;5;21;19;6;;104;23;2;10;
2001/02 SW27 (w/e 04/07);2002-04-07;174;16;20;5;6;;1;3;4;11;11;11;;34;38;7;7;
2001/02 SW28 (w/e 04/14);2002-04-14;147;7;12;10;1;;;;2;10;11;12;;57;13;7;5;
2001/02 SW29 (w/e 04/21);2002-04-21;93;8;9;1;;;;1;1;2;6;3;;34;17;3;8;
2001/02 SW30 (w/e 04/28);2002-04-28;69;4;12;2;;;;5;;2;2;4;;23;4;1;10;
2001/02 SW31 (w/e 05/05);2002-05-05;43;;6;3;;;;2;;2;2;1;;22;1;2;2;
2001/02 SW32 (w/e 05/12);2002-05-12;29;3;5;;;;;2;;1;;;;14;2;1;1;
2001/02 SW33 (w/e 05/19);2002-05-19;13;1;3;;;;;1;;1;1;;;2;;3;1;
2001/02 SW34 (w/e 05/26);2002-05-26;9;;4;1;;;;;;;;;;;1;2;1;
2001/02 SW35 (w/e 06/02);2002-06-02;7;;2;;;;1;;;;;;;2;;2;;
2001/02 SW36 (w/e 06/09);2002-06-09;3;;;;;;;;;;1;;;1;;1;;
2001/02 SW37 (w/e 06/16);2002-06-16;2;;;;;;;;;;;;;2;;;;
2001/02 SW38 (w/e 06/23);2002-06-23;3;;;;1;;;;;;;;;2;;;;
2001/02 SW39 (w/e 06/30);2002-06-30;1;;;;;;;1;;;;;;;;;;
2001/02 SW40 (w/e 07/07);2002-07-07;3;;;;2;;;;;;;1;;;;;;
2001/02 SW41 (w/e 07/14);2002-07-14;3;;;;1;;;;;;;;;2;;;;
2001/02 SW42 (w/e 07/21);2002-07-21;1;;;;1;;;;;;;;;;;;;
2001/02 SW46 (w/e 08/18);2002-08-18;1;;;;1;;;;;;;;;;;;;
2001/02 SW48 (w/e 09/01);2002-09-01;1;;;;;;;;;;;;;1;;;;
2001/02 SW50 (w/e 09/15);2002-09-15;2;;;;1;;;;;;;;1;;;;;
2001/02 SW51 (w/e 09/22);2002-09-22;2;;;;1;;;;;;;1;;;;;;
2001/02 SW52 (w/e 09/29);2002-09-29;1;;;;1;;;;;;;;;;;;;
2002/03 SW01 (w/e 10/06);2002-10-06;1;;;;1;;;;;;;;;;;;;
2002/03 SW03 (w/e 10/20);2002-10-20;2;;2;;;;;;;;;;;;;;;
2002/03 SW04 (w/e 10/27);2002-10-27;4;2;1;;1;;;;;;;;;;;;;
2002/03 SW05 (w/e 11/03);2002-11-03;5;;2;2;;;;;;;1;;;;;;;
2002/03 SW06 (w/e 11/10);2002-11-10;6;1;;;1;;;;;1;;1;;2;;;;
2002/03 SW07 (w/e 11/17);2002-11-17;3;;;1;1;;;;;;;;;1;;;;
2002/03 SW09 (w/e 12/01);2002-12-01;1;;1;;;;;;;;;;;;;;;
2002/03 SW10 (w/e 12/08);2002-12-08;5;1;;2;1;;;;;;;;;1;;;;
2002/03 SW11 (w/e 12/15);2002-12-15;1;1;;;;;;;;;;;;;;;;
2002/03 SW12 (w/e 12/22);2002-12-22;5;;;;2;;;;;1;1;;;1;;;;
2002/03 SW13 (w/e 12/29);2002-12-29;2;;;;;;;;;;1;;;;;;1;
2002/03 SW14 (w/e 01/05);2003-01-05;1;;;;1;;;;;;;;;;;;;
2002/03 SW15 (w/e 01/12);2003-01-12;7;;1;;1;;;1;1;1;1;;;1;;;;
2002/03 SW16 (w/e 01/19);2003-01-19;20;5;9;3;1;;;;;1;;;;;;1;;
2002/03 SW17 (w/e 01/26);2003-01-26;70;12;28;;2;;;;;3;4;10;;3;2;4;2;
2002/03 SW18 (w/e 02/02);2003-02-02;148;22;62;6;;;;2;3;6;5;17;;8;;11;6;
2002/03 SW19 (w/e 02/09);2003-02-09;303;62;98;22;4;5;2;2;2;28;19;9;;11;6;20;13;
2002/03 SW20 (w/e 02/16);2003-02-16;447;76;109;18;2;6;2;11;5;50;16;66;;22;18;27;19;
2002/03 SW21 (w/e 02/23);2003-02-23;1014;189;291;35;21;12;9;20;3;50;40;136;;84;34;66;24;
2002/03 SW22 (w/e 03/02);2003-03-02;1388;204;366;108;41;18;;41;21;113;74;95;4;80;95;73;55;
2002/03 SW23 (w/e 03/09);2003-03-09;1556;148;409;111;48;30;1;56;24;134;93;102;4;182;114;46;54;
2002/03 SW24 (w/e 03/16);2003-03-16;1387;65;284;138;47;24;2;58;48;96;86;88;3;258;84;40;66;
2002/03 SW25 (w/e 03/23);2003-03-23;994;53;92;80;36;20;;43;17;63;53;58;4;332;63;29;51;
2002/03 SW26 (w/e 03/30);2003-03-30;611;32;65;42;15;12;1;16;5;40;43;46;2;203;58;8;23;
2002/03 SW27 (w/e 04/06);2003-04-06;322;30;29;25;9;11;;13;6;30;25;17;;94;15;6;12;
2002/03 SW28 (w/e 04/13);2003-04-13;143;4;19;6;1;14;;2;3;13;12;7;;46;11;;5;
2002/03 SW29 (w/e 04/20);2003-04-20;77;3;15;3;2;4;1;4;1;4;8;1;;23;4;1;3;
2002/03 SW30 (w/e 04/27);2003-04-27;46;6;6;;;;;1;;1;1;2;2;24;2;;1;
2002/03 SW31 (w/e 05/04);2003-05-04;19;;1;;1;3;;;;2;;2;;5;1;;4;
2002/03 SW32 (w/e 05/11);2003-05-11;15;;5;1;1;1;;1;;;;2;;1;1;;2;
2002/03 SW33 (w/e 05/18);2003-05-18;7;;;;;;;1;;2;1;1;;1;;1;;
2002/03 SW34 (w/e 05/25);2003-05-25;11;;;3;;;;4;;;;;;2;;;2;
2002/03 SW35 (w/e 06/01);2003-06-01;7;;;2;;;;1;;1;;2;;;;;1;
2002/03 SW36 (w/e 06/08);2003-06-08;1;;;;;;;;;;;;;;;1;;
2002/03 SW37 (w/e 06/15);2003-06-15;1;;;1;;;;;;;;;;;;;;
2002/03 SW38 (w/e 06/22);2003-06-22;1;;;;1;;;;;;;;;;;;;
2002/03 SW39 (w/e 06/29);2003-06-29;1;;;1;;;;;;;;;;;;;;
2002/03 SW40 (w/e 07/06);2003-07-06;1;;;;1;;;;;;;;;;;;;
2002/03 SW41 (w/e 07/13);2003-07-13;1;;;;1;;;;;;;;;;;;;
2002/03 SW43 (w/e 07/27);2003-07-27;2;;1;;1;;;;;;;;;;;;;
2002/03 SW44 (w/e 08/03);2003-08-03;2;;;;;;;1;;;1;;;;;;;
2002/03 SW47 (w/e 08/24);2003-08-24;2;;;;;;;;;;;2;;;;;;
2002/03 SW48 (w/e 08/31);2003-08-31;1;;;;1;;;;;;;;;;;;;
2002/03 SW49 (w/e 09/07);2003-09-07;3;;;1;1;;;1;;;;;;;;;;
2002/03 SW50 (w/e 09/14);2003-09-14;3;;;;3;;;;;;;;;;;;;
2002/03 SW51 (w/e 09/21);2003-09-21;9;;;;;9;;;;;;;;;;;;
2002/03 SW52 (w/e 09/28);2003-09-28;2;;;;;2;;;;;;;;;;;;
2003/04 SW01 (w/e 10/05);2003-10-05;4;;;;;2;;2;;;;;;;;;;
2003/04 SW02 (w/e 10/12);2003-10-12;1;;;;1;;;;;;;;;;;;;
2003/04 SW03 (w/e 10/19);2003-10-19;4;;;;;;;3;;;1;;;;;;;
2003/04 SW04 (w/e 10/26);2003-10-26;7;;;2;;;;2;;2;;;;;;;1;
2003/04 SW05 (w/e 11/02);2003-11-02;9;2;;;2;2;;2;;;;;;;;;1;
2003/04 SW06 (w/e 11/09);2003-11-09;11;1;;3;2;1;;3;;;;;;1;;;;
2003/04 SW07 (w/e 11/16);2003-11-16;9;2;;1;;1;;;;1;;3;;1;;;;
2003/04 SW08 (w/e 11/23);2003-11-23;15;1;;4;2;2;;;;;1;4;;1;;;;
2003/04 SW09 (w/e 11/30);2003-11-30;20;2;;;;;;3;;;;11;1;;1;1;1;
2003/04 SW10 (w/e 12/07);2003-12-07;35;11;4;1;;;;1;2;;3;9;;3;1;;;
2003/04 SW11 (w/e 12/14);2003-12-14;78;8;8;2;3;;;2;;1;6;19;;3;25;1;;
2003/04 SW12 (w/e 12/21);2003-12-21;104;14;10;;1;;;1;;1;14;36;;4;19;3;1;
2003/04 SW13 (w/e 12/28);2003-12-28;61;9;4;1;;3;;3;;2;3;16;1;1;16;2;;
2003/04 SW14 (w/e 01/04);2004-01-04;72;11;6;2;2;;;2;;2;12;27;;2;5;1;;
2003/04 SW15 (w/e 01/11);2004-01-11;105;8;7;2;1;;;5;2;12;6;45;;5;8;1;3;
2003/04 SW16 (w/e 01/18);2004-01-18;211;38;19;9;6;1;;8;1;15;29;37;4;24;6;13;1;
2003/04 SW17 (w/e 01/25);2004-01-25;268;53;48;8;4;1;;11;2;24;22;36;6;35;9;5;4;
2003/04 SW18 (w/e 02/01);2004-02-01;356;35;38;26;5;3;1;17;1;44;32;48;2;68;26;5;5;
2003/04 SW19 (w/e 02/08);2004-02-08;483;48;53;10;27;9;3;11;7;49;21;51;2;138;43;6;5;
2003/04 SW20 (w/e 02/15);2004-02-15;441;55;81;17;7;10;;22;5;43;29;34;2;82;43;6;5;
2003/04 SW21 (w/e 02/22);2004-02-22;370;38;71;14;5;20;2;10;3;52;9;36;;84;15;8;3;
2003/04 SW22 (w/e 02/29);2004-02-29;243;40;51;14;4;10;2;9;1;28;15;18;1;34;8;4;4;
2003/04 SW23 (w/e 03/07);2004-03-07;256;37;50;9;7;9;;9;4;24;12;26;2;47;9;5;6;
2003/04 SW24 (w/e 03/14);2004-03-14;240;39;25;10;9;;1;8;1;23;28;28;2;30;20;9;7;
2003/04 SW25 (w/e 03/21);2004-03-21;208;35;14;11;9;;12;4;7;40;11;16;;25;13;6;5;
2003/04 SW26 (w/e 03/28);2004-03-28;125;20;25;10;1;3;1;1;5;18;7;9;;8;12;3;2;
2003/04 SW27 (w/e 04/04);2004-04-04;59;11;5;2;;1;;2;;7;2;9;;10;4;2;4;
2003/04 SW28 (w/e 04/11);2004-04-11;22;7;2;;3;;;1;;;2;3;;1;;1;2;
2003/04 SW29 (w/e 04/18);2004-04-18;12;1;1;;2;;;3;;;1;;;2;2;;;
2003/04 SW30 (w/e 04/25);2004-04-25;14;6;1;;1;;;;;3;;;;2;;1;;
2003/04 SW31 (w/e 05/02);2004-05-02;10;2;;;4;;;;;;;;;2;;2;;
2003/04 SW32 (w/e 05/09);2004-05-09;8;;;1;4;;;;1;;;;;1;;1;;
2003/04 SW33 (w/e 05/16);2004-05-16;6;;;;6;;;;;;;;;;;;;
2003/04 SW35 (w/e 05/30);2004-05-30;3;;;;1;;;;;1;;;;;1;;;
2003/04 SW37 (w/e 06/13);2004-06-13;2;;;;2;;;;;;;;;;;;;
2003/04 SW38 (w/e 06/20);2004-06-20;2;;;;2;;;;;;;;;;;;;
2003/04 SW39 (w/e 06/27);2004-06-27;1;;;;1;;;;;;;;;;;;;
2003/04 SW40 (w/e 07/04);2004-07-04;3;;;;1;;;;;2;;;;;;;;
2003/04 SW41 (w/e 07/11);2004-07-11;2;;;;2;;;;;;;;;;;;;
2003/04 SW42 (w/e 07/18);2004-07-18;2;;;;1;;;;;;;;;1;;;;
2003/04 SW43 (w/e 07/25);2004-07-25;1;;;;1;;;;;;;;;;;;;
2003/04 SW44 (w/e 08/01);2004-08-01;1;;;;1;;;;;;;;;;;;;
2003/04 SW45 (w/e 08/08);2004-08-08;1;1;;;;;;;;;;;;;;;;
2003/04 SW47 (w/e 08/22);2004-08-22;3;;;1;2;;;;;;;;;;;;;
2003/04 SW48 (w/e 08/29);2004-08-29;1;;;1;;;;;;;;;;;;;;
2003/04 SW49 (w/e 09/05);2004-09-05;2;;;;2;;;;;;;;;;;;;
2003/04 SW50 (w/e 09/12);2004-09-12;2;;;1;1;;;;;;;;;;;;;
2003/04 SW51 (w/e 09/19);2004-09-19;2;;;;2;;;;;;;;;;;;;
2003/04 SW52 (w/e 09/26);2004-09-26;1;;;;;;;;;;;;;1;;;;
2004/05 SW01 (w/e 10/03);2004-10-03;3;;;1;1;;;;;;;;;1;;;;
2004/05 SW02 (w/e 10/10);2004-10-10;2;;;1;1;;;;;;;;;;;;;
2004/05 SW03 (w/e 10/17);2004-10-17;4;;1;1;2;;;;;;;;;;;;;
2004/05 SW04 (w/e 10/24);2004-10-24;4;;1;1;2;;;;;;;;;;;;;
2004/05 SW05 (w/e 10/31);2004-10-31;7;;;;3;1;;;;;;;;3;;;;
2004/05 SW06 (w/e 11/07);2004-11-07;3;;;;3;;;;;;;;;;;;;
2004/05 SW07 (w/e 11/14);2004-11-14;3;1;;;2;;;;;;;;;;;;;
2004/05 SW08 (w/e 11/21);2004-11-21;3;;;;2;;;;;;;;;;;;1;
2004/05 SW09 (w/e 11/28);2004-11-28;3;;;;2;;;1;;;;;;;;;;
2004/05 SW10 (w/e 12/05);2004-12-05;7;1;1;1;2;2;;;;;;;;;;;;
2004/05 SW11 (w/e 12/12);2004-12-12;9;;1;4;1;1;;;;;1;;;1;;;;
2004/05 SW12 (w/e 12/19);2004-12-19;13;1;2;2;1;1;;;;;1;1;;1;;;3;
2004/05 SW13 (w/e 12/26);2004-12-26;21;7;5;3;;;;;;1;1;1;1;1;;;1;
2004/05 SW14 (w/e 01/02);2005-01-02;26;7;7;8;;;;;1;2;1;;;;;;;
2004/05 SW15 (w/e 01/09);2005-01-09;30;8;4;4;3;;;2;;;4;1;;2;;;2;
2004/05 SW16 (w/e 01/16);2005-01-16;42;8;8;7;5;;;;;1;2;6;;5;;;;
2004/05 SW17 (w/e 01/23);2005-01-23;81;21;16;11;3;;1;1;;4;1;8;;8;;4;3;
2004/05 SW18 (w/e 01/30);2005-01-30;185;37;51;17;7;4;;;3;24;8;14;;11;;5;4;
2004/05 SW19 (w/e 02/06);2005-02-06;432;142;87;9;8;5;1;7;;76;27;30;1;27;2;4;6;
2004/05 SW20 (w/e 02/13);2005-02-13;679;183;142;33;24;20;3;7;;103;47;49;;45;2;10;11;
2004/05 SW21 (w/e 02/20);2005-02-20;1052;235;164;43;55;18;1;20;12;170;81;125;4;66;16;21;21;
2004/05 SW22 (w/e 02/27);2005-02-27;1679;255;294;67;69;5;20;50;13;309;103;197;3;133;48;50;63;
2004/05 SW23 (w/e 03/06);2005-03-06;2098;334;366;83;59;13;18;48;28;358;76;185;6;313;77;55;79;
2004/05 SW24 (w/e 03/13);2005-03-13;2169;266;386;96;53;12;16;49;35;317;80;198;7;429;83;52;90;
2004/05 SW25 (w/e 03/20);2005-03-20;2309;262;338;91;58;9;12;33;27;303;51;135;10;677;146;66;91;
2004/05 SW26 (w/e 03/27);2005-03-27;1235;106;145;54;43;7;1;13;17;119;30;68;4;464;77;46;41;
2004/05 SW27 (w/e 04/03);2005-04-03;518;33;73;20;16;1;;8;6;52;13;30;;194;42;20;10;
2004/05 SW28 (w/e 04/10);2005-04-10;243;16;23;4;8;;;1;1;27;3;8;;104;15;23;10;
2004/05 SW29 (w/e 04/17);2005-04-17;98;3;6;6;4;;;1;;23;1;8;;31;5;6;4;
2004/05 SW30 (w/e 04/24);2005-04-24;53;2;4;2;2;;1;2;;16;2;4;;9;4;5;;
2004/05 SW31 (w/e 05/01);2005-05-01;27;;;3;2;;;;;9;;;;7;4;2;;
2004/05 SW32 (w/e 05/08);2005-05-08;15;3;;1;1;;;;;3;;;;2;5;;;
2004/05 SW33 (w/e 05/15);2005-05-15;15;;1;3;;;;;;7;;2;;1;;1;;
2004/05 SW34 (w/e 05/22);2005-05-22;17;;;;2;;;;;1;;;;1;13;;;
2004/05 SW35 (w/e 05/29);2005-05-29;67;1;;1;2;;;;;2;;;;;60;1;;
2004/05 SW36 (w/e 06/05);2005-06-05;7;;;;3;;;1;;;2;;;;1;;;
2004/05 SW37 (w/e 06/12);2005-06-12;8;;;;3;;;;;4;;;;;;1;;
2004/05 SW38 (w/e 06/19);2005-06-19;1;;;;1;;;;;;;;;;;;;
2004/05 SW39 (w/e 06/26);2005-06-26;2;;;;1;;;;;;;1;;;;;;
2004/05 SW40 (w/e 07/03);2005-07-03;1;;;;1;;;;;;;;;;;;;
2004/05 SW41 (w/e 07/10);2005-07-10;1;;;;;;;;;1;;;;;;;;
2004/05 SW42 (w/e 07/17);2005-07-17;3;;;3;;;;;;;;;;;;;;
2004/05 SW44 (w/e 07/31);2005-07-31;2;;;;1;;;;;;;;;;1;;;
2004/05 SW46 (w/e 08/14);2005-08-14;1;;;;1;;;;;;;;;;;;;
2004/05 SW47 (w/e 08/21);2005-08-21;1;;;1;;;;;;;;;;;;;;
2004/05 SW48 (w/e 08/28);2005-08-28;1;;;;;;;;;;;;;;1;;;
2004/05 SW51 (w/e 09/18);2005-09-18;2;1;;;1;;;;;;;;;;;;;
2004/05 SW52 (w/e 09/25);2005-09-25;7;1;;1;2;;;;;;;;;3;;;;
2004/05 SW53 (w/e 10/02);2005-10-02;4;;;1;;;;;;2;;1;;;;;;
