Season year and week (40);;;State;;;;;;;;;;;;;;;;
2013/14 SW26 (w/e 03/30);2014-03-30;618;98;289;31;12;2;9;26;7;12;28;14;1;35;28;9;17;
2013/14 SW27 (w/e 04/06);2014-04-06;547;102;242;20;6;;5;10;7;15;17;29;4;28;18;9;35;
2013/14 SW28 (w/e 04/13);2014-04-13;455;75;177;16;19;1;15;20;5;6;14;32;4;19;10;1;41;
2013/14 SW29 (w/e 04/20);2014-04-20;200;20;107;6;3;;5;4;3;3;14;12;2;7;7;3;4;
2013/14 SW30 (w/e 04/27);2014-04-27;151;25;68;2;1;1;9;4;;4;10;13;;5;2;1;6;
2013/14 SW31 (w/e 05/04);2014-05-04;101;28;23;4;2;;2;6;4;;8;8;;13;2;;1;
2013/14 SW32 (w/e 05/11);2014-05-11;52;8;9;4;1;;1;3;;4;3;2;;5;3;8;1;
2013/14 SW33 (w/e 05/18);2014-05-18;27;2;13;2;;1;;1;;2;2;;;;1;3;;
2013/14 SW34 (w/e 05/25);2014-05-25;36;3;10;3;2;;1;3;1;3;2;;;4;;4;;
2013/14 SW35 (w/e 06/01);2014-06-01;14;3;5;;1;;;;;2;2;;;;1;;;
2013/14 SW36 (w/e 06/08);2014-06-08;12;1;5;1;;;1;;;1;2;;;;1;;;
2013/14 SW37 (w/e 06/15);2014-06-15;8;1;3;;;;;2;;1;1;;;;;;;
2013/14 SW38 (w/e 06/22);2014-06-22;7;;4;;1;;;;;;;;;1;;1;;
2013/14 SW39 (w/e 06/29);2014-06-29;16;4;4;;;;;2;;;4;2;;;;;;
2013/14 SW40 (w/e 07/06);2014-07-06;8;2;3;;;;;2;;;;1;;;;;;
2013/14 SW41 (w/e 07/13);2014-07-13;4;;2;;;;;;;1;;;;;;1;;
2013/14 SW42 (w/e 07/20);2014-07-20;8;2;3;;;;;;1;;;;;;;;2;
2013/14 SW43 (w/e 07/27);2014-07-27;9;;2;1;;;3;;1;;1;;1;;;;;
2013/14 SW44 (w/e 08/03);2014-08-03;7;1;1;;;;3;1;;1;;;;;;;;
2013/14 SW45 (w/e 08/10);2014-08-10;2;;;;;;;;;;1;;;1;;;;
2013/14 SW46 (w/e 08/17);2014-08-17;7;5;;;;;;2;;;;;;;;;;
2013/14 SW47 (w/e 08/24);2014-08-24;5;1;2;1;1;;;;;;;;;;;;;
2013/14 SW48 (w/e 08/31);2014-08-31;7;1;;;;;;;1;1;1;1;;1;1;;;
2013/14 SW49 (w/e 09/07);2014-09-07;9;2;3;;;;;1;;;1;;;2;;;;
2013/14 SW50 (w/e 09/14);2014-09-14;7;;1;1;2;;1;;;;;1;;;1;;;
2013/14 SW51 (w/e 09/21);2014-09-21;8;1;;2;;;1;;;1;1;;;;;;2;
2013/14 SW52 (w/e 09/28);2014-09-28;10;;2;;1;;;;;1;3;1;;2;;;;
2014/15 SW01 (w/e 10/05);2014-10-05;6;;1;;;;;1;4;;;;;;;;;
2014/15 SW02 (w/e 10/12);2014-10-12;5;;;;2;;;;;;;1;;1;1;;;
2014/15 SW03 (w/e 10/19);2014-10-19;12;2;3;1;;;;;;2;1;;;2;;;1;
2014/15 SW04 (w/e 10/26);2014-10-26;17;4;2;1;1;;;;1;2;1;;;1;1;3;;
2014/15 SW05 (w/e 11/02);2014-11-02;12;2;3;;;;;;;2;2;2;;1;;;;
2014/15 SW06 (w/e 11/09);2014-11-09;16;2;6;;3;;1;;1;;;2;;;;1;;
2014/15 SW07 (w/e 11/16);2014-11-16;22;2;8;1;;;;;1;3;2;3;;1;;1;;
2014/15 SW08 (w/e 11/23);2014-11-23;26;5;4;3;;;;1;2;6;1;1;;;3;;;
2014/15 SW09 (w/e 11/30);2014-11-30;34;4;3;2;;;1;;4;6;4;4;;2;1;2;1;
2014/15 SW10 (w/e 12/07);2014-12-07;42;5;8;1;;;3;;2;3;5;8;1;3;2;1;;
2014/15 SW11 (w/e 12/14);2014-12-14;84;9;20;7;6;;2;1;1;15;4;3;;10;1;1;4;
2014/15 SW12 (w/e 12/21);2014-12-21;175;9;52;19;4;1;9;13;5;11;12;6;3;15;4;4;8;
2014/15 SW13 (w/e 12/28);2014-12-28;150;14;41;15;7;;6;4;7;6;13;9;;15;6;1;6;
2014/15 SW14 (w/e 01/04);2015-01-04;152;19;40;16;1;2;12;6;2;5;23;5;;8;4;6;3;
2014/15 SW15 (w/e 01/11);2015-01-11;484;53;134;36;9;;13;25;6;32;46;12;3;54;35;16;10;
2014/15 SW16 (w/e 01/18);2015-01-18;1152;125;278;67;33;4;26;37;18;37;76;26;4;318;39;17;47;
2014/15 SW17 (w/e 01/25);2015-01-25;1987;254;616;88;54;2;43;54;42;54;97;78;10;370;131;23;71;
2014/15 SW18 (w/e 02/01);2015-02-01;4202;608;1118;156;109;2;73;121;84;125;200;161;13;1005;190;84;153;
2014/15 SW19 (w/e 02/08);2015-02-08;7047;1069;1703;187;159;5;137;363;128;247;332;310;42;1602;350;87;325;1
2014/15 SW20 (w/e 02/15);2015-02-15;9657;1672;2663;311;239;7;248;318;170;358;499;609;59;1476;472;167;385;4
2014/15 SW21 (w/e 02/22);2015-02-22;12157;1915;3162;413;343;7;351;463;244;522;623;612;81;1236;645;285;1255;
2014/15 SW22 (w/e 03/01);2015-03-01;14629;1954;3265;464;521;9;378;502;382;688;911;830;107;1801;1113;312;1389;3
2014/15 SW23 (w/e 03/08);2015-03-08;11576;1423;2561;422;428;6;207;406;427;534;759;621;55;1281;1080;273;1092;1
2014/15 SW24 (w/e 03/15);2015-03-15;8623;869;1701;364;420;5;228;292;396;376;536;358;28;1073;997;177;802;1
2014/15 SW25 (w/e 03/22);2015-03-22;5820;514;1277;260;232;10;130;175;282;279;330;222;29;909;590;151;426;4
2014/15 SW26 (w/e 03/29);2015-03-29;4079;371;1041;153;146;4;108;121;179;160;190;119;16;746;366;90;266;3
2014/15 SW27 (w/e 04/05);2015-04-05;2203;178;607;98;75;4;61;78;78;84;101;69;5;364;233;45;123;
2014/15 SW28 (w/e 04/12);2015-04-12;1234;134;302;48;54;;35;42;52;34;44;47;4;238;132;27;41;
2014/15 SW29 (w/e 04/19);2015-04-19;1378;89;641;38;31;;64;39;28;31;44;34;;178;114;8;39;
2014/15 SW30 (w/e 04/26);2015-04-26;670;55;259;21;20;1;31;16;23;16;28;17;4;81;65;10;23;
2014/15 SW31 (w/e 05/03);2015-05-03;335;25;58;16;4;;18;6;6;15;24;9;1;58;31;49;15;
2014/15 SW32 (w/e 05/10);2015-05-10;187;14;32;7;13;;9;11;1;12;9;8;2;43;18;5;3;
2014/15 SW33 (w/e 05/17);2015-05-17;104;5;13;6;2;1;22;4;4;5;7;1;;17;10;3;4;
2014/15 SW34 (w/e 05/24);2015-05-24;58;3;6;7;1;;5;1;1;7;7;2;;8;4;2;4;
2014/15 SW35 (w/e 05/31);2015-05-31;35;1;4;;;;3;4;3;3;2;1;;8;4;2;;
2014/15 SW36 (w/e 06/07);2015-06-07;28;;4;2;1;;4;;;2;;;6;7;1;1;;
2014/15 SW37 (w/e 06/14);2015-06-14;12;1;1;;1;;1;1;1;1;2;;;1;;2;;
2014/15 SW38 (w/e 06/21);2015-06-21;17;1;2;1;1;;;;1;2;3;;;4;;2;;
2014/15 SW39 (w/e 06/28);2015-06-28;6;;;;;;;2;;2;1;;;1;;;;
2014/15 SW40 (w/e 07/05);2015-07-05;9;1;1;;;;;1;;3;;2;;1;;;;
2014/15 SW41 (w/e 07/12);2015-07-12;5;1;1;;;;;;;1;;;;2;;;;
2014/15 SW42 (w/e 07/19);2015-07-19;8;;2;;1;2;;;;2;;;;1;;;;
2014/15 SW43 (w/e 07/26);2015-07-26;10;;1;;;;;4;;1;;;;;;3;1;
2014/15 SW44 (w/e 08/02);2015-08-02;8;;3;1;;;;;;2;;;1;1;;;;
2014/15 SW45 (w/e 08/09);2015-08-09;8;;3;;;;;1;;1;;;;2;;1;;
2014/15 SW46 (w/e 08/16);2015-08-16;5;;3;;;;;;;;1;;;;;1;;
2014/15 SW47 (w/e 08/23);2015-08-23;5;;4;;;1;;;;;;;;;;;;
2014/15 SW48 (w/e 08/30);2015-08-30;4;;1;1;;;1;;;;;;;;;1;;
2014/15 SW49 (w/e 09/06);2015-09-06;6;1;2;;;;1;1;;;1;;;;;;;
2014/15 SW50 (w/e 09/13);2015-09-13;5;1;;;;;;1;;;;;;;;;3;
2014/15 SW51 (w/e 09/20);2015-09-20;5;2;2;1;;;;;;;;;;;;;;
2014/15 SW52 (w/e 09/27);2015-09-27;9;2;3;1;;;;;;;2;;;;1;;;
2015/16 SW01 (w/e 10/04);2015-10-04;9;2;2;;1;;1;;1;;;;;1;;1;;
2015/16 SW02 (w/e 10/11);2015-10-11;17;5;3;1;2;;;2;;1;1;1;;1;;;;
2015/16 SW03 (w/e 10/18);2015-10-18;15;2;2;1;;;2;2;;;2;;;;2;1;1;
2015/16 SW04 (w/e 10/25);2015-10-25;15;2;1;2;1;1;;;;2;2;;;;;4;;
2015/16 SW05 (w/e 11/01);2015-11-01;33;1;10;2;;;;1;1;2;3;5;;4;;4;;
2015/16 SW06 (w/e 11/08);2015-11-08;30;1;10;2;1;;;2;;;5;1;;2;3;1;2;
2015/16 SW07 (w/e 11/15);2015-11-15;65;3;17;1;;1;3;8;2;4;4;;;7;2;12;1;
2015/16 SW08 (w/e 11/22);2015-11-22;82;4;15;3;5;;8;7;1;5;11;3;;4;4;3;9;
2015/16 SW09 (w/e 11/29);2015-11-29;82;10;19;;2;;13;5;3;1;8;1;;7;6;1;6;
2015/16 SW10 (w/e 12/06);2015-12-06;162;12;50;2;2;1;11;5;;9;8;5;3;22;10;7;15;
2015/16 SW11 (w/e 12/13);2015-12-13;225;19;45;5;9;1;21;11;4;7;19;1;1;28;25;4;25;
2015/16 SW12 (w/e 12/20);2015-12-20;299;55;44;6;2;2;29;12;5;9;31;5;;25;29;11;34;
2015/16 SW13 (w/e 12/27);2015-12-27;193;30;53;7;4;;17;3;4;12;6;3;1;15;13;3;22;
2015/16 SW14 (w/e 01/03);2016-01-03;192;19;53;9;2;1;18;12;5;4;10;1;;28;7;8;15;
2015/16 SW15 (w/e 01/10);2016-01-10;327;35;90;15;4;;17;22;4;13;27;15;1;43;5;11;25;
2015/16 SW16 (w/e 01/17);2016-01-17;574;55;122;60;22;;42;22;30;21;30;19;2;69;23;17;40;
2015/16 SW17 (w/e 01/24);2016-01-24;1098;61;235;87;41;;81;24;31;71;46;27;;125;54;39;176;
2015/16 SW18 (w/e 01/31);2016-01-31;2247;107;330;197;112;2;193;67;97;122;118;85;2;311;184;42;278;
2015/16 SW19 (w/e 02/07);2016-02-07;3014;198;528;305;102;1;214;70;114;165;163;103;15;490;184;108;253;1
2015/16 SW20 (w/e 02/14);2016-02-14;3167;227;486;270;143;3;207;123;74;190;207;117;7;472;217;113;311;
2015/16 SW21 (w/e 02/21);2016-02-21;4447;398;698;324;249;5;229;166;173;244;332;153;9;487;374;123;482;1
2015/16 SW22 (w/e 02/28);2016-02-28;6355;502;969;456;428;7;273;292;265;323;530;300;15;619;488;247;637;4
2015/16 SW23 (w/e 03/06);2016-03-06;7735;621;1192;507;428;12;356;352;365;418;672;362;17;898;682;336;517;
2015/16 SW24 (w/e 03/13);2016-03-13;10045;740;1407;674;569;9;383;454;629;572;876;428;30;1355;813;316;790;
2015/16 SW25 (w/e 03/20);2016-03-20;11192;835;1835;570;540;17;313;423;784;549;1103;508;36;1748;1044;329;555;3
2015/16 SW26 (w/e 03/27);2016-03-27;8904;820;1484;324;394;18;263;363;643;484;900;414;38;1442;741;231;345;
2015/16 SW27 (w/e 04/03);2016-04-03;6055;581;1092;213;258;8;177;262;321;253;726;302;31;980;526;130;194;1
2015/16 SW28 (w/e 04/10);2016-04-10;4513;374;821;149;147;6;148;177;258;194;431;257;24;804;484;88;151;
2015/16 SW29 (w/e 04/17);2016-04-17;2559;193;414;90;118;3;105;73;152;108;250;153;30;450;304;43;72;1
2015/16 SW30 (w/e 04/24);2016-04-24;1432;97;253;37;59;4;99;30;109;61;133;67;1;229;182;23;48;
2015/16 SW31 (w/e 05/01);2016-05-01;904;47;138;24;68;1;42;9;67;37;69;51;14;161;135;22;19;
2015/16 SW32 (w/e 05/08);2016-05-08;432;27;78;13;11;2;21;7;28;29;49;27;5;68;49;13;4;1
2015/16 SW33 (w/e 05/15);2016-05-15;408;23;77;10;39;1;9;8;22;22;46;22;12;66;35;9;7;
2015/16 SW34 (w/e 05/22);2016-05-22;128;11;25;1;5;;18;1;1;4;22;7;;12;15;2;4;
2015/16 SW35 (w/e 05/29);2016-05-29;62;3;13;;;;1;4;2;6;12;;2;9;8;1;1;
2015/16 SW36 (w/e 06/05);2016-06-05;99;2;7;2;64;;3;3;1;4;7;;;;5;1;;
2015/16 SW37 (w/e 06/12);2016-06-12;23;2;2;;;;5;;2;1;5;1;;;3;2;;
2015/16 SW38 (w/e 06/19);2016-06-19;13;2;1;;1;;1;1;;2;;2;;1;2;;;
2015/16 SW39 (w/e 06/26);2016-06-26;11;1;3;;;;2;;1;;2;;;1;1;;;
2015/16 SW40 (w/e 07/03);2016-07-03;15;;2;;;;;1;;3;4;1;;3;1;;;
2015/16 SW41 (w/e 07/10);2016-07-10;6;1;1;1;;;1;;;;;;;2;;;;
2015/16 SW42 (w/e 07/17);2016-07-17;9;2;2;1;;;1;;;;3;;;;;;;
2015/16 SW43 (w/e 07/24);2016-07-24;9;4;2;;;;;;;;;;2;1;;;;
2015/16 SW44 (w/e 07/31);2016-07-31;22;;;4;;;1;;1;;;;13;2;;1;;
2015/16 SW45 (w/e 08/07);2016-08-07;8;;3;;;;;1;1;;2;;;1;;;;
2015/16 SW46 (w/e 08/14);2016-08-14;6;1;;;;;;;;;1;;;4;;;;
2015/16 SW47 (w/e 08/21);2016-08-21;8;;5;;;;;1;;;;;;2;;;;
2015/16 SW48 (w/e 08/28);2016-08-28;11;;4;;;;1;;;1;;1;;3;;1;;
2015/16 SW49 (w/e 09/04);2016-09-04;10;;3;;;;1;1;1;1;3;;;;;;;
2015/16 SW50 (w/e 09/11);2016-09-11;13;2;4;;1;;2;;;;;1;;3;;;;
2015/16 SW51 (w/e 09/18);2016-09-18;15;4;4;;;;;;;1;3;;;;;3;;
2015/16 SW52 (w/e 09/25);2016-09-25;20;5;6;;;;1;;;3;1;;;2;;2;;
2015/16 SW53 (w/e 10/02);2016-10-02;25;;9;;;;5;;;1;3;4;;;;;3;
2016/17 SW01 (w/e 10/09);2016-10-09;34;14;8;;;;1;1;1;1;1;3;;2;;2;;
2016/17 SW02 (w/e 10/16);2016-10-16;36;3;7;1;1;;4;4;1;1;2;3;1;4;;4;;
2016/17 SW03 (w/e 10/23);2016-10-23;40;3;10;1;;;5;;1;2;5;2;;3;;5;3;
2016/17 SW04 (w/e 10/30);2016-10-30;38;2;17;;;2;1;;1;3;3;;;5;1;3;;
2016/17 SW05 (w/e 11/06);2016-11-06;58;8;15;2;;;1;;1;11;6;1;;4;5;2;2;
2016/17 SW06 (w/e 11/13);2016-11-13;47;1;12;1;3;;;2;3;5;5;1;;6;3;3;2;
2016/17 SW07 (w/e 11/20);2016-11-20;100;9;25;5;6;;4;7;4;2;6;;;21;5;4;2;
2016/17 SW08 (w/e 11/27);2016-11-27;156;7;55;9;2;2;13;4;5;7;16;2;;18;15;;1;
2016/17 SW09 (w/e 12/04);2016-12-04;194;10;57;9;3;;22;8;3;8;15;3;1;36;12;6;1;
2016/17 SW10 (w/e 12/11);2016-12-11;358;17;108;18;15;;37;5;21;11;26;3;;51;38;7;1;
2016/17 SW11 (w/e 12/18);2016-12-18;843;60;260;40;19;1;62;9;110;31;58;8;1;74;78;17;15;
2016/17 SW12 (w/e 12/25);2016-12-25;1398;148;559;57;24;1;108;41;52;44;81;23;2;109;94;28;27;
2016/17 SW13 (w/e 01/01);2017-01-01;1696;274;706;74;34;1;61;42;39;33;158;15;3;109;79;41;27;
2016/17 SW14 (w/e 01/08);2017-01-08;2589;410;987;124;51;1;100;86;54;63;203;31;6;291;99;19;63;1
2016/17 SW15 (w/e 01/15);2017-01-15;4624;788;1666;199;76;1;113;205;135;105;264;76;9;512;246;60;169;
2016/17 SW16 (w/e 01/22);2017-01-22;7242;1167;2154;283;213;2;205;288;234;202;399;182;37;884;472;95;421;4
2016/17 SW17 (w/e 01/29);2017-01-29;12065;2067;3161;528;366;7;279;449;295;344;857;418;36;1623;902;169;562;2
2016/17 SW18 (w/e 02/05);2017-02-05;17463;2842;4304;556;451;13;379;710;391;542;1378;749;82;2504;1347;334;875;6
2016/17 SW19 (w/e 02/12);2017-02-12;20836;2787;5199;573;481;38;420;961;417;801;1840;1273;86;3423;1341;436;759;1
2016/17 SW20 (w/e 02/19);2017-02-19;18332;1964;4043;466;559;41;508;847;520;924;1713;1192;61;2839;1420;556;675;4
2016/17 SW21 (w/e 02/26);2017-02-26;14701;1218;3035;398;427;44;515;715;672;946;1250;769;54;2070;1309;647;628;4
2016/17 SW22 (w/e 03/05);2017-03-05;7469;572;1400;252;263;23;281;349;380;524;679;387;25;956;704;407;264;3
2016/17 SW23 (w/e 03/12);2017-03-12;4319;344;946;97;128;9;124;192;246;313;406;237;16;585;367;130;179;
2016/17 SW24 (w/e 03/19);2017-03-19;2121;145;482;53;56;14;52;96;147;158;248;109;6;245;172;80;58;
2016/17 SW25 (w/e 03/26);2017-03-26;1295;95;326;37;28;3;28;46;93;81;161;60;3;114;125;40;55;
2016/17 SW26 (w/e 04/02);2017-04-02;721;64;182;12;24;1;33;23;51;44;81;21;1;83;79;15;7;
2016/17 SW27 (w/e 04/09);2017-04-09;475;38;133;9;10;2;8;16;23;26;48;17;4;35;62;31;13;
2016/17 SW28 (w/e 04/16);2017-04-16;197;12;64;4;1;1;4;9;14;17;23;9;1;13;16;3;6;
2016/17 SW29 (w/e 04/23);2017-04-23;126;7;41;4;;2;2;9;7;1;14;8;1;16;8;4;2;
2016/17 SW30 (w/e 04/30);2017-04-30;151;12;35;1;4;1;6;3;12;3;18;4;1;12;28;3;8;
2016/17 SW31 (w/e 05/07);2017-05-07;124;9;32;2;;;2;3;2;3;20;3;2;18;15;2;11;
2016/17 SW32 (w/e 05/14);2017-05-14;130;18;24;1;8;2;5;2;4;2;18;4;2;22;11;3;4;
2016/17 SW33 (w/e 05/21);2017-05-21;91;6;22;4;1;;4;1;5;4;12;1;2;9;13;2;4;1
2016/17 SW34 (w/e 05/28);2017-05-28;45;5;8;1;2;;2;2;;4;8;;;4;7;1;1;
2016/17 SW35 (w/e 06/04);2017-06-04;39;3;6;1;;2;2;;;;4;1;;9;2;7;2;
2016/17 SW36 (w/e 06/11);2017-06-11;21;1;6;1;;1;;1;1;1;3;1;;3;1;1;;
2016/17 SW37 (w/e 06/18);2017-06-18;17;1;4;2;;;2;;;1;3;;;2;;1;1;
2016/17 SW38 (w/e 06/25);2017-06-25;21;7;1;1;1;;;;;3;5;;;3;;;;
2016/17 SW39 (w/e 07/02);2017-07-02;10;3;1;1;1;;;;;1;1;;;2;;;;
2016/17 SW40 (w/e 07/09);2017-07-09;11;1;4;;;;1;;3;;;;;1;;1;;
2016/17 SW41 (w/e 07/16);2017-07-16;13;1;3;;1;;;1;;1;2;;;1;2;1;;
2016/17 SW42 (w/e 07/23);2017-07-23;3;;1;;;;;;;1;1;;;;;;;
2016/17 SW43 (w/e 07/30);2017-07-30;14;1;1;;;;4;1;;1;;1;;2;2;1;;
2016/17 SW44 (w/e 08/06);2017-08-06;18;3;6;;;;2;1;;;3;;;1;1;1;;
2016/17 SW45 (w/e 08/13);2017-08-13;12;4;3;;;;;2;;;;1;;1;;1;;
2016/17 SW46 (w/e 08/20);2017-08-20;3;1;;;;;;;;;;;;1;;1;;
2016/17 SW47 (w/e 08/27);2017-08-27;3;1;1;;;;;;;;;1;;;;;;
2016/17 SW48 (w/e 09/03);2017-09-03;13;2;;2;;;;;;2;5;1;;1;;;;
2016/17 SW49 (w/e 09/10);2017-09-10;19;5;4;1;1;;1;;;;1;1;;1;1;3;;
2016/17 SW50 (w/e 09/17);2017-09-17;13;1;3;1;;;3;;;;3;;;1;;1;;
2016/17 SW51 (w/e 09/24);2017-09-24;19;3;4;;;;3;1;;1;;;;3;1;3;;
2016/17 SW52 (w/e 10/01);2017-10-01;32;1;14;2;2;1;;1;2;;3;;;4;;;2;
2017/18 SW01 (w/e 10/08);2017-10-08;40;6;11;2;;2;1;1;2;1;4;3;;3;1;1;2;
2017/18 SW02 (w/e 10/15);2017-10-15;33;5;13;1;2;;1;2;;2;1;1;;4;;;1;
2017/18 SW03 (w/e 10/22);2017-10-22;38;5;15;3;1;;2;1;1;1;1;1;;4;1;2;;
2017/18 SW04 (w/e 10/29);2017-10-29;44;3;7;2;1;;4;3;;5;4;;;9;3;3;;
2017/18 SW05 (w/e 11/05);2017-11-05;28;8;4;1;1;1;2;;;;3;;1;4;1;1;1;
2017/18 SW06 (w/e 11/12);2017-11-12;51;7;13;1;1;;5;3;;4;6;1;;7;2;;1;
2017/18 SW07 (w/e 11/19);2017-11-19;46;5;9;4;1;;5;4;1;;6;2;;6;1;2;;
2017/18 SW08 (w/e 11/26);2017-11-26;90;12;17;1;2;1;13;5;1;6;13;3;2;8;2;2;2;
2017/18 SW09 (w/e 12/03);2017-12-03;104;17;19;1;;1;10;4;1;8;13;1;;25;1;2;1;
2017/18 SW10 (w/e 12/10);2017-12-10;178;15;57;7;5;1;6;5;;10;19;10;;27;12;2;2;
2017/18 SW11 (w/e 12/17);2017-12-17;343;41;102;11;5;;19;12;2;8;38;12;;58;22;4;9;
2017/18 SW12 (w/e 12/24);2017-12-24;619;79;212;14;7;2;27;25;3;9;70;29;2;101;21;10;8;
2017/18 SW13 (w/e 12/31);2017-12-31;829;182;272;20;7;8;27;28;9;22;96;14;5;90;25;14;10;
2017/18 SW14 (w/e 01/07);2018-01-07;1659;312;592;34;23;3;58;99;11;44;181;44;7;144;51;34;22;
2017/18 SW15 (w/e 01/14);2018-01-14;3110;564;1059;105;47;5;134;100;32;93;287;83;6;389;105;52;49;
2017/18 SW16 (w/e 01/21);2018-01-21;5342;806;1598;187;88;2;231;177;93;167;478;194;17;623;236;126;318;1
2017/18 SW17 (w/e 01/28);2018-01-28;10826;1468;3121;462;400;14;427;288;268;485;844;354;62;1503;576;275;279;